genre,mean_popularity,mean_pc1,mean_pc2,mean_pc3,n_tracks,em_tier,em_prob_premium,cluster,label
acoustic,45,0.956,0.508,-0.174,944,3_Premium,0.833,C3,Balanced / Rock
afrobeat,24.78,-0.478,0.702,-0.287,984,1_Niche,0,C5,Balanced / Rock
alt-rock,52.1,-0.764,-0.265,-0.218,650,3_Premium,0.963,C1,Electronic & Loud
alternative,47.26,-0.691,-0.177,-0.201,515,3_Premium,0.915,C1,Electronic & Loud
ambient,47.44,3.686,-0.634,-0.282,931,3_Premium,0.918,C2,Acoustic & Folk
anime,49.16,0.023,-0.324,-0.142,991,3_Premium,0.942,C1,Electronic & Loud
black-metal,22.53,-0.204,-2.361,-0.1,990,1_Niche,0,C1,Electronic & Loud
bluegrass,25.94,0.581,0.568,-0.049,988,1_Niche,0,C3,Balanced / Rock
blues,47.71,-0.066,0.409,-0.154,653,3_Premium,0.923,C5,Balanced / Rock
brazil,46.24,-0.169,0.103,0.473,963,3_Premium,0.892,C5,Balanced / Rock
breakbeat,20.26,-1.005,-0.532,-0.463,988,1_Niche,0,C1,Electronic & Loud
british,50.12,0.85,-0.027,-0.219,874,3_Premium,0.951,C3,Balanced / Rock
cantopop,35.28,0.848,0.329,-0.09,984,1_Niche,0.115,C3,Balanced / Rock
chicago-house,12.39,-0.506,0.345,-0.903,991,1_Niche,0,C5,Balanced / Rock
children,39.42,0.278,1.518,-0.03,889,1_Niche,0.339,C3,Balanced / Rock
chill,55.89,1.033,0.767,0.046,960,3_Premium,0.973,C3,Balanced / Rock
classical,22.6,3.435,0.315,0.041,541,1_Niche,0,C2,Acoustic & Folk
club,33.41,-0.28,-0.48,-0.279,994,1_Niche,0.046,C1,Electronic & Loud
comedy,24.64,-0.114,0.7,5.872,996,1_Niche,0,C4,Dance & Pop
country,41.23,-0.145,0.298,-0.309,413,2_Mid-tier,0.228,C5,Balanced / Rock
dance,45.08,-0.932,0.529,-0.325,501,3_Premium,0.84,C5,Balanced / Rock
dancehall,39.31,-0.941,1.098,0.347,850,1_Niche,0.345,C5,Balanced / Rock
death-metal,32.97,-0.76,-1.882,0.1,975,1_Niche,0.037,C1,Electronic & Loud
deep-house,48.96,-0.632,0.113,-0.605,913,3_Premium,0.939,C5,Balanced / Rock
detroit-techno,11.2,0.135,-0.219,-0.928,995,1_Niche,0,C1,Electronic & Loud
disco,43.33,-0.859,0.695,-0.403,773,3_Premium,0.487,C5,Balanced / Rock
disney,27.66,2.53,0.204,0.1,994,1_Niche,0.001,C2,Acoustic & Folk
drum-and-bass,26.72,-1.124,-1.451,-0.463,992,1_Niche,0.001,C1,Electronic & Loud
dub,42.64,-0.674,-0.326,-0.173,938,2_Mid-tier,0.334,C1,Electronic & Loud
dubstep,44.47,-0.698,-0.896,-0.163,950,3_Premium,0.766,C1,Electronic & Loud
edm,55.04,-0.895,0.088,-0.288,634,3_Premium,0.971,C5,Balanced / Rock
electro,58,-0.494,0.321,-0.2,622,3_Premium,0.974,C5,Balanced / Rock
electronic,47.05,-0.318,-0.101,-0.331,942,3_Premium,0.911,C1,Electronic & Loud
emo,50.55,-0.515,0.046,-0.036,952,3_Premium,0.954,C5,Balanced / Rock
folk,48.17,0.474,0.494,-0.047,785,3_Premium,0.93,C3,Balanced / Rock
forro,41.83,-1.205,0.699,0.072,998,2_Mid-tier,0.244,C5,Balanced / Rock
french,44.65,0.119,0.427,0.077,919,3_Premium,0.793,C5,Balanced / Rock
funk,45.78,-0.766,1.056,0.433,706,3_Premium,0.878,C5,Balanced / Rock
garage,42.68,-0.513,-0.519,-0.234,959,2_Mid-tier,0.341,C1,Electronic & Loud
german,40.79,0.831,-0.221,0.117,642,2_Mid-tier,0.238,C3,Balanced / Rock
gospel,41.93,0.236,-0.482,0.228,992,2_Mid-tier,0.25,C1,Electronic & Loud
goth,29.43,-0.42,-0.586,-0.044,980,1_Niche,0.005,C1,Electronic & Loud
grindcore,14.67,-0.272,-2.491,0.311,995,1_Niche,0,C1,Electronic & Loud
groove,41.67,-0.634,-0.357,-0.147,906,2_Mid-tier,0.236,C1,Electronic & Loud
grunge,51.54,-0.877,-0.892,-0.189,961,3_Premium,0.96,C1,Electronic & Loud
guitar,30.14,2.433,0.473,-0.241,976,1_Niche,0.007,C3,Balanced / Rock
happy,22.69,-1.198,-1.279,0.036,956,1_Niche,0,C1,Electronic & Loud
hard-rock,49.69,-0.837,-0.501,-0.126,858,3_Premium,0.947,C1,Electronic & Loud
hardcore,40.13,-1.177,-0.493,0.263,899,2_Mid-tier,0.281,C1,Electronic & Loud
hardstyle,28.67,-1.327,-1.15,0.054,926,1_Niche,0.003,C1,Electronic & Loud
heavy-metal,26.23,-0.991,-1.201,0.083,996,1_Niche,0.001,C1,Electronic & Loud
hip-hop,53.31,-0.86,0.767,0.081,708,3_Premium,0.967,C5,Balanced / Rock
