genre,point_pred,mc_mean,mc_lower,mc_upper,hit_prob
pop-film,59.92,60.02,30.36,88.56,0.748
k-pop,59.72,59.67,29.95,89.11,0.739
pop,58.71,58.56,28.03,87.84,0.716
electro,57.93,57.88,27.86,87.89,0.703
house,57.28,57.42,26.91,87.56,0.69
chill,55.79,56.06,27.32,84.53,0.659
metal,55.39,55.58,25.86,86.38,0.64
edm,55.15,55.31,26.24,84.92,0.627
indie-pop,54.99,55.21,25.31,84.26,0.641
indie,54.67,54.7,25.48,84.44,0.616
hip-hop,53.36,53.46,22.37,81.98,0.597
alt-rock,52.58,52.76,23.42,82.11,0.574
sad,52.45,52.3,23,82.09,0.558
grunge,52.17,52.2,21.82,81.41,0.563
progressive-house,52.27,52.13,23.82,81,0.551
indian,50.65,50.68,20.79,80.52,0.523
songwriter,50.4,50.63,20.87,80.27,0.517
soul,50.77,50.57,20.35,80.54,0.519
british,50.42,50.54,20.93,80.55,0.513
hard-rock,50.38,50.53,21.11,79.58,0.521
singer-songwriter,50.4,50.52,22.22,80.36,0.51
piano,50.36,50.17,20.67,79.27,0.509
emo,49.95,49.88,20.92,79.09,0.492
sertanejo,49.41,49.5,19.97,78.94,0.483
psych-rock,49.29,49.28,20.07,79.28,0.483
anime,49.57,49.25,19.54,78.89,0.486
deep-house,49,48.88,19.94,79.13,0.468
folk,48.77,48.73,18.99,78.71,0.465
j-pop,48.61,48.47,19.36,77.48,0.467
blues,48.16,48.41,18.52,78.06,0.46
ambient,47.66,47.73,17.47,76.24,0.441
brazil,47.24,47.4,17.16,77.38,0.439
alternative,47.45,47.34,17.75,77.49,0.429
pagode,47.11,46.91,16.7,76.5,0.417
electronic,47.16,46.9,17.5,76.15,0.419
r-n-b,46.02,46.12,16.21,75.29,0.395
metalcore,45.86,45.92,16.28,76.1,0.388
mandopop,45.98,45.82,15.88,75.86,0.389
funk,45.63,45.77,17.22,75.46,0.39
punk,45.32,45.44,15.44,74.56,0.389
acoustic,45.24,45.2,15.75,74.82,0.371
dubstep,45,45.05,15.76,74.36,0.368
french,44.67,44.8,14.83,74.73,0.369
dance,44.93,44.7,15.27,74.6,0.365
sleep,44.46,44.44,14.39,73.88,0.358
swedish,44.04,43.96,14.33,73.26,0.347
disco,43.6,43.76,13.8,73.3,0.34
mpb,43.5,43.37,13.24,73.3,0.33
world-music,43.49,43.22,14.12,72.16,0.325
garage,43.03,43.12,13.63,72.77,0.324
jazz,43.05,43.09,13.4,72.49,0.32
dub,43.09,43.01,12.63,72.45,0.328
gospel,43.15,43.01,11.82,72.73,0.326
spanish,43.12,43.01,13.62,71.36,0.327
j-rock,42.62,42.77,13.86,73.03,0.313
punk-rock,43.14,42.74,13.42,72.36,0.308
groove,42.14,42.61,13.17,72.15,0.308
forro,42.44,42.48,13.32,72.5,0.303
techno,42.24,42.15,13.04,70.92,0.298
turkish,41.62,41.82,11.53,71.67,0.292
country,41.47,41.65,12.54,71.65,0.288
trance,41.07,41.43,11.9,71.01,0.283
samba,41.07,41.18,11.86,71.2,0.282
german,41.01,41,12.04,70.33,0.272
synth-pop,40.59,40.65,11.06,70.12,0.259
hardcore,40.44,40.56,11.71,69.6,0.264
rock,40.32,40.31,10.34,69.86,0.256
latino,40.16,39.68,10.47,68.94,0.25
children,39.62,39.57,10,69.6,0.242
dancehall,39.28,39.19,10.28,68.2,0.236
rock-n-roll,39.09,39.08,10.71,68.6,0.23
rockabilly,37.27,37.78,7.41,67.37,0.211
ska,37.55,37.7,8.57,66.26,0.208
reggaeton,37.23,37.47,8.23,66.93,0.204
minimal-techno,36.03,36.24,6.04,65.48,0.185
cantopop,35.78,35.87,5.68,64.96,0.176
trip-hop,35.94,35.77,6.15,65.19,0.173
reggae,34.02,33.86,5.32,64.12,0.134
industrial,33.67,33.75,4.32,63.23,0.138
club,33.73,33.56,3.88,63.7,0.142
show-tunes,33.53,33.56,4.14,63.12,0.136
death-metal,33.61,33.41,3.2,62.87,0.135
salsa,31.46,31.51,2.44,61.07,0.11
malay,30.94,31.33,2.51,60.22,0.109
new-age,30.7,30.71,1,59.58,0.096
guitar,30.25,30.13,0,59.64,0.094
goth,30.1,30.02,0.34,59.25,0.093
power-pop,29.05,29.58,0,58.95,0.086
party,29.15,29.43,0,58.26,0.086
hardstyle,29.47,29.31,0,58.32,0.087
opera,28.68,28.95,0,58.2,0.084
comedy,28.8,28.9,0.01,58.22,0.079
disney,28.06,28.2,0,57.05,0.07
drum-and-bass,27.4,28.09,0,57.95,0.075
j-dance,27.52,27.51,0,56.06,0.065
heavy-metal,27.17,27.19,0,55.88,0.065
bluegrass,26.45,26.85,0,55.78,0.059
study,26.36,26.53,0,56.41,0.058
j-idol,25.58,26.02,0,54.06,0.05
afrobeat,25.06,25.36,0,54.09,0.048
black-metal,23.47,23.9,0,53.68,0.04
happy,23.48,23.74,0,52.99,0.039
classical,22.91,23.38,0,52.62,0.036
tango,20.75,21.36,0,49.97,0.025
breakbeat,20.76,21.2,0,51.19,0.029
latin,20.46,21.12,0,50.35,0.026
honky-tonk,16.69,18.01,0,46.87,0.016
idm,16.32,17.28,0,45.37,0.011
kids,15.8,17.06,0,45.72,0.013
grindcore,15.61,16.81,0,45.24,0.011
chicago-house,12.42,14.07,0,42.49,0.007
detroit-techno,11.32,13.25,0,40.81,0.004
romance,9.84,12.41,0,38.68,0.003
iranian,7.23,10.52,0,37.4,0.002
