genre,point_pred,mc_mean,mc_lower,mc_upper,hit_prob
pop-film,60.21,60.31,30.65,88.85,0.754
k-pop,60.01,59.96,30.24,89.4,0.745
pop,59,58.84,28.32,88.13,0.722
electro,58.22,58.17,28.15,88.18,0.711
house,57.57,57.71,27.2,87.85,0.698
chill,56.08,56.35,27.61,84.82,0.664
metal,55.68,55.87,26.15,86.67,0.646
edm,55.44,55.6,26.53,85.21,0.637
indie-pop,55.29,55.5,25.6,84.55,0.648
indie,54.96,54.99,25.77,84.73,0.622
hip-hop,53.66,53.75,22.66,82.27,0.603
alt-rock,52.87,53.05,23.71,82.4,0.581
sad,52.74,52.59,23.29,82.38,0.567
grunge,52.46,52.49,22.11,81.7,0.572
progressive-house,52.56,52.42,24.11,81.29,0.561
indian,50.94,50.97,21.09,80.81,0.532
songwriter,50.69,50.92,21.16,80.56,0.525
soul,51.06,50.86,20.64,80.83,0.527
british,50.71,50.83,21.22,80.84,0.523
hard-rock,50.67,50.82,21.4,79.87,0.527
singer-songwriter,50.69,50.81,22.51,80.66,0.517
piano,50.65,50.46,20.96,79.56,0.516
emo,50.24,50.17,21.21,79.38,0.5
sertanejo,49.7,49.79,20.26,79.23,0.491
psych-rock,49.58,49.57,20.36,79.57,0.492
anime,49.87,49.54,19.83,79.18,0.493
deep-house,49.29,49.17,20.23,79.42,0.475
folk,49.06,49.02,19.28,79,0.473
j-pop,48.9,48.76,19.65,77.77,0.474
blues,48.45,48.7,18.81,78.35,0.469
ambient,47.95,48.02,17.76,76.53,0.451
brazil,47.53,47.69,17.45,77.67,0.445
alternative,47.74,47.63,18.04,77.78,0.435
pagode,47.4,47.2,16.99,76.79,0.423
electronic,47.45,47.19,17.79,76.44,0.429
r-n-b,46.31,46.42,16.5,75.58,0.404
metalcore,46.15,46.21,16.58,76.39,0.395
mandopop,46.27,46.11,16.17,76.15,0.397
funk,45.93,46.06,17.51,75.75,0.395
punk,45.61,45.73,15.73,74.85,0.396
acoustic,45.53,45.49,16.04,75.11,0.379
dubstep,45.29,45.34,16.05,74.65,0.375
french,44.96,45.09,15.12,75.02,0.377
dance,45.22,44.99,15.56,74.89,0.374
sleep,44.75,44.73,14.68,74.17,0.364
swedish,44.33,44.25,14.62,73.55,0.356
disco,43.89,44.05,14.09,73.59,0.347
mpb,43.79,43.66,13.53,73.59,0.337
world-music,43.78,43.51,14.41,72.45,0.332
garage,43.32,43.41,13.92,73.06,0.331
jazz,43.34,43.38,13.69,72.78,0.327
dub,43.38,43.3,12.92,72.74,0.336
gospel,43.44,43.3,12.12,73.02,0.334
spanish,43.41,43.3,13.91,71.65,0.333
j-rock,42.91,43.06,14.15,73.32,0.32
punk-rock,43.43,43.03,13.71,72.65,0.316
groove,42.43,42.9,13.46,72.44,0.314
forro,42.73,42.77,13.61,72.79,0.309
techno,42.53,42.44,13.33,71.21,0.306
turkish,41.91,42.11,11.82,71.96,0.298
country,41.76,41.94,12.83,71.94,0.294
trance,41.36,41.72,12.19,71.3,0.289
samba,41.36,41.47,12.16,71.49,0.288
german,41.3,41.29,12.33,70.62,0.28
synth-pop,40.88,40.94,11.35,70.41,0.266
hardcore,40.73,40.85,12,69.89,0.272
rock,40.61,40.6,10.63,70.15,0.264
latino,40.45,39.97,10.76,69.23,0.257
children,39.92,39.86,10.29,69.89,0.249
dancehall,39.58,39.48,10.57,68.49,0.242
rock-n-roll,39.38,39.37,11,68.89,0.235
rockabilly,37.57,38.06,7.7,67.67,0.217
ska,37.84,37.99,8.86,66.55,0.212
reggaeton,37.52,37.76,8.52,67.22,0.21
minimal-techno,36.32,36.52,6.33,65.77,0.192
cantopop,36.07,36.16,5.97,65.25,0.182
trip-hop,36.23,36.06,6.44,65.48,0.177
reggae,34.31,34.15,5.61,64.41,0.139
industrial,33.96,34.04,4.62,63.52,0.143
club,34.02,33.85,4.17,63.99,0.146
show-tunes,33.82,33.85,4.43,63.41,0.141
death-metal,33.9,33.69,3.5,63.16,0.138
salsa,31.75,31.8,2.74,61.36,0.115
malay,31.23,31.62,2.8,60.51,0.112
new-age,30.99,30.99,1.29,59.87,0.1
guitar,30.54,30.41,0.14,59.93,0.098
goth,30.39,30.3,0.63,59.54,0.096
power-pop,29.34,29.86,0,59.24,0.088
party,29.44,29.71,0.11,58.55,0.089
hardstyle,29.76,29.6,0,58.62,0.089
opera,28.97,29.24,0,58.49,0.086
comedy,29.09,29.19,0.3,58.51,0.082
disney,28.35,28.48,0,57.34,0.073
drum-and-bass,27.69,28.37,0,58.24,0.078
j-dance,27.81,27.79,0,56.35,0.067
heavy-metal,27.46,27.47,0,56.17,0.068
bluegrass,26.74,27.13,0,56.07,0.062
study,26.65,26.81,0,56.71,0.061
j-idol,25.87,26.3,0,54.35,0.054
afrobeat,25.35,25.64,0,54.38,0.05
black-metal,23.76,24.17,0,53.97,0.041
happy,23.77,24.01,0,53.28,0.041
classical,23.2,23.65,0,52.91,0.038
tango,21.04,21.63,0,50.26,0.027
breakbeat,21.05,21.47,0,51.48,0.03
latin,20.75,21.38,0,50.64,0.027
honky-tonk,16.99,18.26,0,47.16,0.017
idm,16.61,17.53,0,45.66,0.011
kids,16.09,17.31,0,46.01,0.013
grindcore,15.9,17.06,0,45.53,0.012
chicago-house,12.71,14.3,0,42.78,0.007
detroit-techno,11.61,13.47,0,41.1,0.004
romance,10.13,12.63,0,38.98,0.003
iranian,7.52,10.73,0,37.69,0.002
