genre,point_pred,mc_mean,mc_lower,mc_upper,hit_prob
pop-film,60.06,60.16,30.5,88.7,0.752
k-pop,59.86,59.8,30.09,89.25,0.742
pop,58.85,58.69,28.17,87.97,0.72
electro,58.07,58.01,28,88.03,0.707
house,57.42,57.56,27.05,87.7,0.695
chill,55.93,56.2,27.46,84.66,0.662
metal,55.53,55.71,26,86.52,0.643
edm,55.29,55.45,26.38,85.06,0.632
indie-pop,55.13,55.35,25.44,84.4,0.645
indie,54.81,54.84,25.62,84.58,0.62
hip-hop,53.5,53.6,22.51,82.12,0.599
alt-rock,52.71,52.9,23.55,82.25,0.576
sad,52.59,52.44,23.13,82.23,0.564
grunge,52.31,52.34,21.96,81.55,0.568
progressive-house,52.41,52.27,23.96,81.14,0.555
indian,50.79,50.82,20.93,80.66,0.527
songwriter,50.54,50.76,21.01,80.41,0.521
soul,50.9,50.71,20.49,80.67,0.524
british,50.56,50.68,21.07,80.69,0.518
hard-rock,50.52,50.67,21.25,79.72,0.524
singer-songwriter,50.54,50.66,22.36,80.5,0.513
piano,50.5,50.31,20.81,79.41,0.512
emo,50.09,50.01,21.06,79.22,0.495
sertanejo,49.55,49.64,20.1,79.08,0.487
psych-rock,49.43,49.42,20.21,79.41,0.487
anime,49.71,49.39,19.68,79.03,0.489
deep-house,49.13,49.02,20.08,79.27,0.473
folk,48.91,48.87,19.13,78.85,0.47
j-pop,48.75,48.61,19.5,77.62,0.47
blues,48.29,48.55,18.66,78.2,0.464
ambient,47.8,47.86,17.61,76.37,0.446
brazil,47.38,47.53,17.3,77.52,0.442
alternative,47.59,47.48,17.89,77.63,0.433
pagode,47.25,47.05,16.83,76.64,0.421
electronic,47.3,47.04,17.63,76.29,0.423
r-n-b,46.16,46.26,16.35,75.43,0.399
metalcore,46,46.06,16.42,76.23,0.393
mandopop,46.12,45.96,16.02,76,0.393
funk,45.77,45.91,17.36,75.59,0.393
punk,45.46,45.57,15.58,74.7,0.393
acoustic,45.37,45.33,15.89,74.96,0.374
dubstep,45.14,45.18,15.9,74.5,0.37
french,44.81,44.94,14.96,74.87,0.372
dance,45.07,44.84,15.41,74.74,0.37
sleep,44.6,44.57,14.53,74.02,0.36
swedish,44.18,44.1,14.47,73.4,0.35
disco,43.74,43.9,13.93,73.44,0.344
mpb,43.64,43.51,13.38,73.43,0.333
world-music,43.63,43.35,14.26,72.3,0.328
garage,43.17,43.26,13.77,72.91,0.326
jazz,43.19,43.23,13.54,72.63,0.323
dub,43.23,43.15,12.77,72.59,0.332
gospel,43.28,43.15,11.96,72.86,0.331
spanish,43.26,43.14,13.76,71.5,0.33
j-rock,42.76,42.91,14,73.17,0.315
punk-rock,43.27,42.87,13.56,72.5,0.311
groove,42.28,42.75,13.31,72.29,0.311
forro,42.58,42.61,13.46,72.64,0.307
techno,42.38,42.29,13.18,71.06,0.302
turkish,41.76,41.96,11.67,71.8,0.294
country,41.61,41.79,12.68,71.79,0.291
trance,41.21,41.56,12.04,71.15,0.286
samba,41.21,41.32,12,71.34,0.285
german,41.15,41.13,12.18,70.46,0.276
synth-pop,40.73,40.79,11.2,70.26,0.262
hardcore,40.57,40.69,11.85,69.74,0.268
rock,40.45,40.44,10.48,70,0.261
latino,40.3,39.82,10.6,69.08,0.252
children,39.76,39.71,10.14,69.74,0.246
dancehall,39.42,39.33,10.41,68.33,0.239
rock-n-roll,39.23,39.22,10.85,68.74,0.232
rockabilly,37.41,37.91,7.55,67.51,0.214
ska,37.69,37.83,8.71,66.4,0.21
reggaeton,37.37,37.61,8.37,67.07,0.207
minimal-techno,36.17,36.37,6.17,65.62,0.187
cantopop,35.92,36.01,5.82,65.1,0.18
trip-hop,36.07,35.91,6.29,65.33,0.175
reggae,34.16,34,5.45,64.26,0.136
industrial,33.81,33.89,4.46,63.37,0.141
club,33.87,33.7,4.02,63.83,0.145
show-tunes,33.67,33.7,4.27,63.26,0.138
death-metal,33.75,33.54,3.34,63.01,0.136
salsa,31.6,31.65,2.58,61.2,0.112
malay,31.08,31.47,2.65,60.36,0.111
new-age,30.84,30.84,1.14,59.72,0.099
guitar,30.38,30.27,0,59.78,0.095
goth,30.24,30.15,0.48,59.39,0.094
power-pop,29.19,29.71,0,59.09,0.087
party,29.29,29.56,0,58.4,0.087
hardstyle,29.61,29.45,0,58.46,0.087
opera,28.81,29.09,0,58.34,0.085
comedy,28.94,29.04,0.15,58.36,0.08
disney,28.19,28.33,0,57.18,0.071
drum-and-bass,27.54,28.23,0,58.08,0.077
j-dance,27.66,27.65,0,56.2,0.066
heavy-metal,27.31,27.32,0,56.02,0.066
bluegrass,26.59,26.98,0,55.92,0.06
study,26.5,26.66,0,56.55,0.06
j-idol,25.71,26.15,0,54.19,0.052
afrobeat,25.2,25.49,0,54.23,0.048
black-metal,23.61,24.03,0,53.82,0.04
happy,23.62,23.87,0,53.13,0.04
classical,23.05,23.51,0,52.76,0.037
tango,20.89,21.49,0,50.1,0.026
breakbeat,20.9,21.33,0,51.33,0.03
latin,20.6,21.25,0,50.48,0.027
honky-tonk,16.83,18.13,0,47.01,0.017
idm,16.46,17.4,0,45.51,0.011
kids,15.93,17.18,0,45.86,0.013
grindcore,15.75,16.93,0,45.38,0.012
chicago-house,12.56,14.18,0,42.63,0.007
detroit-techno,11.46,13.35,0,40.95,0.004
romance,9.98,12.51,0,38.82,0.003
iranian,7.37,10.62,0,37.54,0.002
