genre,point_pred,mc_mean,mc_lower,mc_upper,hit_prob
pop-film,58.16,58.27,28.6,86.8,0.708
k-pop,57.96,57.91,28.19,87.36,0.701
pop,56.95,56.8,26.27,86.08,0.676
electro,56.17,56.12,26.11,86.13,0.658
house,55.52,55.66,25.16,85.81,0.652
chill,54.03,54.31,25.57,82.77,0.62
metal,53.63,53.82,24.1,84.63,0.595
edm,53.39,53.55,24.48,83.16,0.584
indie-pop,53.24,53.45,23.55,82.5,0.596
indie,52.92,52.95,23.73,82.68,0.572
hip-hop,51.61,51.71,20.62,80.22,0.554
alt-rock,50.82,51.01,21.66,80.35,0.528
sad,50.69,50.54,21.24,80.34,0.515
grunge,50.41,50.45,20.06,79.65,0.511
progressive-house,50.51,50.37,22.06,79.24,0.505
indian,48.89,48.92,19.04,78.76,0.473
songwriter,48.64,48.87,19.11,78.51,0.476
soul,49.01,48.82,18.59,78.78,0.474
british,48.67,48.79,19.18,78.8,0.467
hard-rock,48.63,48.78,19.36,77.82,0.474
singer-songwriter,48.64,48.77,20.46,78.61,0.466
piano,48.6,48.42,18.91,77.51,0.465
emo,48.2,48.12,19.17,77.33,0.447
sertanejo,47.65,47.74,18.21,77.19,0.44
psych-rock,47.53,47.52,18.31,77.52,0.437
anime,47.82,47.5,17.78,77.13,0.441
deep-house,47.24,47.13,18.18,77.37,0.424
folk,47.02,46.98,17.23,76.95,0.421
j-pop,46.86,46.71,17.6,75.72,0.418
blues,46.4,46.66,16.77,76.3,0.413
ambient,45.91,45.97,15.71,74.48,0.402
brazil,45.48,45.64,15.41,75.63,0.395
alternative,45.7,45.59,15.99,75.73,0.382
pagode,45.35,45.16,14.94,74.74,0.375
electronic,45.4,45.15,15.74,74.4,0.374
r-n-b,44.26,44.37,14.46,73.53,0.35
metalcore,44.1,44.17,14.53,74.34,0.348
mandopop,44.22,44.07,14.13,74.11,0.347
funk,43.88,44.02,15.46,73.7,0.348
punk,43.56,43.68,13.68,72.81,0.349
acoustic,43.48,43.44,14,73.07,0.327
dubstep,43.25,43.29,14,72.61,0.325
french,42.91,43.05,13.07,72.98,0.325
dance,43.17,42.94,13.52,72.84,0.32
sleep,42.7,42.68,12.63,72.13,0.319
swedish,42.29,42.21,12.58,71.5,0.309
disco,41.84,42.01,12.04,71.55,0.3
mpb,41.75,41.62,11.48,71.54,0.288
world-music,41.73,41.46,12.36,70.4,0.287
garage,41.27,41.37,11.88,71.01,0.284
jazz,41.29,41.34,11.64,70.74,0.281
dub,41.34,41.26,10.88,70.69,0.29
gospel,41.39,41.26,10.07,70.97,0.288
spanish,41.36,41.26,11.87,69.6,0.287
j-rock,40.86,41.02,12.1,71.27,0.275
punk-rock,41.38,40.98,11.67,70.6,0.271
groove,40.38,40.86,11.42,70.4,0.269
forro,40.68,40.72,11.56,70.74,0.265
techno,40.48,40.4,11.28,69.16,0.259
turkish,39.86,40.07,9.77,69.91,0.252
country,39.72,39.9,10.78,69.9,0.244
trance,39.31,39.68,10.14,69.25,0.249
samba,39.31,39.43,10.11,69.45,0.246
german,39.25,39.24,10.28,68.57,0.235
synth-pop,38.83,38.9,9.3,68.36,0.219
hardcore,38.68,38.81,9.95,67.84,0.227
rock,38.56,38.56,8.59,68.1,0.218
latino,38.4,37.94,8.71,67.18,0.215
children,37.87,37.83,8.25,67.85,0.205
dancehall,37.53,37.45,8.52,66.44,0.2
rock-n-roll,37.33,37.33,8.96,66.85,0.196
rockabilly,35.52,36.04,5.65,65.62,0.18
ska,35.79,35.95,6.82,64.51,0.175
reggaeton,35.47,35.73,6.47,65.17,0.17
minimal-techno,34.28,34.5,4.28,63.72,0.156
cantopop,34.03,34.13,3.92,63.21,0.149
trip-hop,34.18,34.03,4.4,63.43,0.143
reggae,32.26,32.12,3.56,62.36,0.112
industrial,31.92,32.03,2.57,61.48,0.114
club,31.97,31.83,2.13,61.94,0.114
show-tunes,31.77,31.83,2.38,61.36,0.111
death-metal,31.86,31.68,1.45,61.11,0.111
salsa,29.7,29.79,0.69,59.31,0.093
malay,29.18,29.61,0.75,58.46,0.09
new-age,28.94,28.99,0,57.82,0.079
guitar,28.49,28.43,0,57.88,0.075
goth,28.34,28.31,0,57.49,0.07
power-pop,27.29,27.87,0,57.2,0.069
party,27.39,27.73,0,56.5,0.07
hardstyle,27.71,27.61,0,56.57,0.068
opera,26.92,27.25,0,56.44,0.064
comedy,27.04,27.2,0,56.47,0.063
disney,26.3,26.5,0,55.29,0.058
drum-and-bass,25.64,26.41,0,56.19,0.06
j-dance,25.76,25.83,0,54.3,0.05
heavy-metal,25.41,25.51,0,54.12,0.051
bluegrass,24.7,25.17,0,54.02,0.047
study,24.6,24.85,0,54.66,0.046
j-idol,23.82,24.34,0,52.3,0.038
afrobeat,23.3,23.7,0,52.33,0.037
black-metal,21.71,22.26,0,51.93,0.031
happy,21.72,22.11,0,51.24,0.031
classical,21.16,21.76,0,50.86,0.028
tango,18.99,19.76,0,48.21,0.019
breakbeat,19,19.6,0,49.43,0.022
latin,18.71,19.53,0,48.59,0.02
honky-tonk,14.94,16.51,0,45.12,0.01
idm,14.56,15.8,0,43.61,0.008
kids,14.04,15.59,0,43.96,0.009
grindcore,13.86,15.34,0,43.48,0.009
chicago-house,10.66,12.71,0,40.73,0.005
detroit-techno,9.56,11.92,0,39.05,0.003
romance,8.08,11.12,0,36.93,0.002
iranian,5.48,9.35,0,35.65,0.002
