genre,estimate,std.error,p.value,conf.low,conf.high
pop-film,14.683,0.688,0,13.334,16.032
k-pop,14.486,0.696,0,13.122,15.851
pop,13.475,0.724,0,12.056,14.895
electro,12.697,0.782,0,11.163,14.23
house,12.043,0.794,0,10.486,13.6
chill,10.554,0.693,0,9.196,11.913
metal,10.157,0.736,0,8.715,11.599
edm,9.915,0.78,0,8.387,11.443
indie-pop,9.759,0.741,0,8.307,11.212
indie,9.439,0.749,0,7.97,10.907
hip-hop,8.13,0.755,0,6.649,9.61
alt-rock,7.34,0.774,0,5.823,8.857
sad,7.212,0.692,0,5.855,8.57
progressive-house,7.032,0.711,0,5.638,8.426
grunge,6.936,0.7,0,5.564,8.308
soul,5.531,0.91,0,3.747,7.315
indian,5.413,0.688,0,4.064,6.762
british,5.188,0.709,0,3.799,6.578
singer-songwriter,5.162,0.737,0,3.718,6.607
songwriter,5.162,0.737,0,3.718,6.607
hard-rock,5.147,0.718,0,3.74,6.555
piano,5.124,0.709,0,3.735,6.514
emo,4.719,0.701,0,3.345,6.093
anime,4.34,0.69,0,2.988,5.691
sertanejo,4.177,0.691,0,2.823,5.531
psych-rock,4.054,0.709,0,2.664,5.444
deep-house,3.76,0.705,0,2.378,5.143
folk,3.537,0.73,0,2.107,4.968
j-pop,3.378,0.716,0,1.975,4.782
blues,2.922,0.77,0,1.413,4.43
ambient,2.427,0.709,0.001,1.038,3.816
alternative,2.219,0.831,0.008,0.59,3.847
brazil,2.004,0.695,0.004,0.642,3.366
electronic,1.924,0.699,0.006,0.555,3.293
pagode,1.876,0.696,0.007,0.513,3.24
r-n-b,0.786,0.726,0.279,-0.637,2.209
mandopop,0.742,0.687,0.28,-0.605,2.089
metalcore,0.625,0.707,0.377,-0.761,2.011
funk,0.4,0.758,0.598,-1.086,1.886
punk,0.085,0.72,0.906,-1.326,1.497
dubstep,-0.231,0.701,0.742,-1.605,1.144
dance,-0.307,0.838,0.714,-1.951,1.336
french,-0.564,0.702,0.422,-1.939,0.812
sleep,-0.776,0.753,0.303,-2.252,0.7
swedish,-1.191,0.716,0.096,-2.593,0.212
disco,-1.638,0.737,0.026,-3.082,-0.194
mpb,-1.731,0.694,0.013,-3.09,-0.371
world-music,-1.747,0.692,0.012,-3.104,-0.39
gospel,-2.089,0.691,0.003,-3.443,-0.734
punk-rock,-2.1,0.71,0.003,-3.492,-0.707
spanish,-2.114,0.708,0.003,-3.502,-0.727
dub,-2.141,0.701,0.002,-3.515,-0.768
jazz,-2.185,0.98,0.026,-4.106,-0.264
garage,-2.207,0.697,0.002,-3.574,-0.841
j-rock,-2.617,0.695,0,-3.98,-1.254
forro,-2.797,0.691,0,-4.152,-1.442
techno,-2.995,0.705,0,-4.377,-1.613
groove,-3.096,0.707,0,-4.482,-1.71
turkish,-3.616,0.692,0,-4.973,-2.259
country,-3.762,0.892,0,-5.509,-2.015
trance,-4.165,0.708,0,-5.552,-2.777
samba,-4.168,0.693,0,-5.527,-2.809
german,-4.223,0.774,0,-5.74,-2.706
synth-pop,-4.645,0.706,0,-6.028,-3.262
hardcore,-4.799,0.713,0,-6.196,-3.402
rock,-4.919,0.852,0,-6.589,-3.249
latino,-5.074,0.781,0,-6.605,-3.543
children,-5.61,0.709,0,-7,-4.22
dancehall,-5.95,0.721,0,-7.363,-4.538
rock-n-roll,-6.146,0.706,0,-7.53,-4.763
ska,-7.685,0.699,0,-9.056,-6.315
rockabilly,-7.96,0.714,0,-9.36,-6.56
reggaeton,-8.008,0.78,0,-9.537,-6.478
minimal-techno,-9.202,0.705,0,-10.584,-7.82
trip-hop,-9.299,0.694,0,-10.659,-7.938
cantopop,-9.452,0.688,0,-10.8,-8.105
reggae,-11.214,0.79,0,-12.763,-9.666
club,-11.505,0.69,0,-12.858,-10.152
industrial,-11.561,0.706,0,-12.945,-10.177
death-metal,-11.622,0.706,0,-13.005,-10.239
show-tunes,-11.705,0.693,0,-13.064,-10.346
salsa,-13.776,0.709,0,-15.166,-12.387
malay,-14.294,0.688,0,-15.642,-12.946
new-age,-14.536,0.707,0,-15.921,-13.151
guitar,-14.99,0.692,0,-16.345,-13.634
goth,-15.136,0.694,0,-16.495,-13.776
hardstyle,-15.765,0.711,0,-17.158,-14.372
party,-16.085,0.751,0,-17.558,-14.612
power-pop,-16.187,0.703,0,-17.564,-14.811
comedy,-16.435,0.77,0,-17.943,-14.927
opera,-16.56,0.712,0,-17.956,-15.163
disney,-17.179,0.691,0,-18.532,-15.825
j-dance,-17.713,0.698,0,-19.082,-16.344
drum-and-bass,-17.836,0.701,0,-19.211,-16.462
heavy-metal,-18.067,0.697,0,-19.432,-16.702
bluegrass,-18.781,0.687,0,-20.128,-17.434
study,-18.876,0.691,0,-20.23,-17.522
j-idol,-19.658,0.694,0,-21.019,-18.297
afrobeat,-20.175,0.691,0,-21.53,-18.821
happy,-21.755,0.705,0,-23.137,-20.373
black-metal,-21.767,0.706,0,-23.152,-20.382
classical,-22.323,0.82,0,-23.931,-20.715
breakbeat,-24.474,0.696,0,-25.839,-23.11
tango,-24.486,0.69,0,-25.839,-23.133
latin,-24.773,0.902,0,-26.54,-23.006
honky-tonk,-28.54,0.69,0,-29.893,-27.188
idm,-28.916,0.692,0,-30.273,-27.559
kids,-29.439,0.697,0,-30.805,-28.073
grindcore,-29.621,0.71,0,-31.013,-28.229
chicago-house,-32.818,0.697,0,-34.183,-31.452
detroit-techno,-33.914,0.695,0,-35.277,-32.551
romance,-35.396,0.948,0,-37.255,-33.537
iranian,-38.002,0.97,0,-39.903,-36.1
